,,,Type,,Date,,Num,,Name,,Memo,,Account,,Clr,,Split,,Amount,,Balance
Jan - Dec 26,,,,,,,,,,,,,,,,,,,,,
,,,Deposit,,01/02/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,362.90,,362.90
,,,Deposit,,01/02/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-362.90,,0.00
,,,Check,,01/02/2026,,12122,,RUPP'S TRUCK AND TRAILER,,,,101 · CASH IN BANK - UTILITY,,Ö,,453 · TRASH SUPPLIES/REPAIRS,,-125.80,,-125.80
,,,Check,,01/02/2026,,12122,,RUPP'S TRUCK AND TRAILER,,TRASH TRUCK REPAIRS,,453 · TRASH SUPPLIES/REPAIRS,,,,101 · CASH IN BANK - UTILITY,,125.80,,0.00
,,,Check,,01/05/2026,,12119,,TOWN OF WILEY - GENERAL,,,,101 · CASH IN BANK - UTILITY,,Ö,,-SPLIT-,,"-8,161.25",,"-8,161.25"
,,,Check,,01/05/2026,,12119,,TOWN OF WILEY - GENERAL,,payroll,,270 · DUE TO/FROM GENERAL FUND,,,,101 · CASH IN BANK - UTILITY,,"6,605.07",,"-1,556.18"
,,,Check,,01/05/2026,,12119,,TOWN OF WILEY - GENERAL,,land,,270 · DUE TO/FROM GENERAL FUND,,,,101 · CASH IN BANK - UTILITY,,50.00,,"-1,506.18"
,,,Check,,01/05/2026,,12119,,TOWN OF WILEY - GENERAL,,health,,491 · EMPLOYEE BENEFIT,,,,101 · CASH IN BANK - UTILITY,,"1,506.18",,0.00
,,,Check,,01/05/2026,,12120,,CITY OF LAMAR,,,,101 · CASH IN BANK - UTILITY,,Ö,,-SPLIT-,,-330.10,,-330.10
,,,Check,,01/05/2026,,12120,,CITY OF LAMAR,,977-304 MAIN,,411 · PUMPING EXPENSE,,,,101 · CASH IN BANK - UTILITY,,293.10,,-37.00
,,,Check,,01/05/2026,,12120,,CITY OF LAMAR,,978-304 MAIN ST PUMP,,411 · PUMPING EXPENSE,,,,101 · CASH IN BANK - UTILITY,,37.00,,0.00
,,,Check,,01/05/2026,,12121,,WILEY SANITATION DISTRICT,,,,101 · CASH IN BANK - UTILITY,,Ö,,222 · DUE TO/FROM WSD,,"-7,942.73",,"-7,942.73"
,,,Check,,01/05/2026,,12121,,WILEY SANITATION DISTRICT,,SEWAGE SALES,,222 · DUE TO/FROM WSD,,,,101 · CASH IN BANK - UTILITY,,"7,942.73",,0.00
,,,General Journal,,01/05/2026,,363,,,,WALKER WELL LOAN USDA RD DCFO,,101 · CASH IN BANK - UTILITY,,Ö,,211.3 · WALKER WELL LOAN (USDA RD),,"-10,256.00",,"-10,256.00"
,,,General Journal,,01/05/2026,,363,,,,WALKER WELL LOAN USDA RD DCFO,,211.3 · WALKER WELL LOAN (USDA RD),,,,101 · CASH IN BANK - UTILITY,,"10,256.00",,0.00
,,,Deposit,,01/05/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,"1,600.00",,"1,600.00"
,,,Deposit,,01/05/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-1,600.00",,0.00
,,,Deposit,,01/05/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,"2,294.00",,"2,294.00"
,,,Deposit,,01/05/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-2,294.00",,0.00
,,,Check,,01/05/2026,,12123,,WALLACE GAS AND OIL,,,,101 · CASH IN BANK - UTILITY,,Ö,,419.4- FUEL EXPENSE,,-516.50,,-516.50
,,,Check,,01/05/2026,,12123,,WALLACE GAS AND OIL,,TRASH TRUCK FUEL,,419.4- FUEL EXPENSE,,,,101 · CASH IN BANK - UTILITY,,516.50,,0.00
