"File","LineRate","LinesCovered","LinesValid"
"ClientStartup.cs","0","0","164"
"Services\HttpProblemDetailsParser.cs","14.71","5","34"
"Services\UtilityCustomerApiService.cs","16.98","18","106"
"ClientStartup.LocalSettings.cs","21.43","15","70"
"Components\Panels\CustomerViewerPanel.Bindings.cs","25","4","16"
"Components\Layout\MainLayout.razor","48.57","17","35"
"Services\HttpApiResponseHelper.cs","52.94","18","34"
"Components\Panels\CustomerViewerPanel.razor.cs","56.38","84","149"
"Components\QuickBooksImportPanel.razor","61.48","257","418"
"Components\Panels\CustomerViewerPanel.Shared.cs","64.75","79","122"
"Components\Panels\CustomerViewerPanel.razor","68.75","11","16"
"Components\Panels\CustomerViewerPanel.Helpers.cs","69.57","32","46"
"Services\WorkspacePersistenceService.cs","70","77","110"
"State\CustomerFilterService.cs","71.43","10","14"
"Services\WorkspaceAiApiService.cs","74.36","29","39"
"Contracts\WorkspaceContracts.cs","74.65","53","71"
"Components\Pages\WileyWorkspaceBase.cs","75.61","310","410"
"Services\WorkspaceKnowledgeApiService.cs","81.58","31","38"
"Components\Pages\WileyWorkspace.razor","83.33","45","54"
"Services\QuickBooksImportApiService.cs","83.91","73","87"
"Contracts\QuickBooksRoutingContracts.cs","85","34","40"
"Components\JarvisChatPanel.razor","87.8","36","41"
"Contracts\WorkspaceChatContracts.cs","87.8","36","41"
"State\WorkspaceState.cs","91.07","204","224"
"Components\JarvisChatPanel.razor.cs","91.67","352","384"
"Services\WorkspaceSnapshotApiService.cs","92.45","98","106"
"Contracts\WorkspaceKnowledgeContracts.cs","95.24","40","42"
"Components\LoggingErrorBoundary.cs","96.88","31","32"
"Services\PdfPacketBuilder.cs","97.37","74","76"
"Contracts\QuickBooksImportContracts.cs","97.83","45","46"
"Components\Layout\NavMenu.razor","100","15","15"
"Components\Layout\WorkspaceLayoutContext.cs","100","2","2"
"Components\Panels\BreakEvenPanel.razor","100","16","16"
"Components\Panels\DataDashboardPanel.razor","100","49","49"
"Components\Panels\QuickBooksImportPanelWrapper.razor","100","1","1"
"Components\Panels\RatesPanel.razor","100","10","10"
"Components\Panels\ScenarioPlannerPanel.razor","100","11","11"
"Components\Panels\TrendsPanel.razor","100","1","1"
"Contracts\UtilityCustomerContracts.cs","100","38","38"
"Contracts\WorkspaceDefaults.cs","100","7","7"
"Services\BrowserDownloadService.cs","100","11","11"
"Services\ExcelWorkbookBuilder.cs","100","96","96"
"Services\WorkspaceBootstrapService.cs","100","48","48"
"Services\WorkspaceDocumentExportService.cs","100","22","22"
"Services\WorkspaceLocalBootstrapService.cs","100","2","2"
"State\RateCalculator.cs","100","10","10"
