"File","LineRate","LinesCovered","LinesValid"
"src\WileyWidget.Abstractions\ICacheService.cs","0","0","5"
"src\WileyWidget.Abstractions\IResourceLoader.cs","0","0","21"
"src\WileyWidget.Abstractions\IViewRegistrationService.cs","0","0","7"
"src\WileyWidget.Abstractions\Result.cs","0","0","12"
"src\WileyWidget.Business\Configuration\GrokRecommendationOptions.cs","0","0","1"
"src\WileyWidget.Business\Interfaces\IGrokRecommendationService.cs","0","0","6"
"src\WileyWidget.Business\Models\MonthlyRevenueAggregate.cs","0","0","3"
"src\WileyWidget.Business\Services\AuditService.cs","0","0","6"
"src\WileyWidget.Business\Services\GrokRecommendationService.cs","0","0","154"
"src\WileyWidget.Data\AccountsRepository.cs","0","0","127"
"src\WileyWidget.Data\ActivityLogRepository.cs","0","0","48"
"src\WileyWidget.Data\AppDbContextFactoryAdapter.cs","0","0","7"
"src\WileyWidget.Data\DatabaseSeeder.cs","0","0","8"
"src\WileyWidget.Data\DepartmentRepository.cs","0","0","117"
"src\WileyWidget.Data\DesignTimeDbContextFactory.cs","0","0","9"
"src\WileyWidget.Data\MunicipalAccountRepository.cs","0","0","263"
"src\WileyWidget.Data\RepositoryConcurrencyHelper.cs","0","0","8"
"src\WileyWidget.Data\ScenarioSnapshotRepository.cs","0","0","28"
"src\WileyWidget.Data\VendorRepository.cs","0","0","107"
"src\WileyWidget.Models\AppOptions.cs","0","0","55"
"src\WileyWidget.Models\DashboardMetric.cs","0","0","8"
"src\WileyWidget.Models\Models\ActivityItem.cs","0","0","43"
"src\WileyWidget.Models\Models\ActivityLog.cs","0","0","13"
"src\WileyWidget.Models\Models\AI\AnalyticsData.cs","0","0","112"
"src\WileyWidget.Models\Models\AI\BudgetInsights.cs","0","0","88"
"src\WileyWidget.Models\Models\AI\ComplianceReport.cs","0","0","147"
"src\WileyWidget.Models\Models\AI\ReportData.cs","0","0","64"
"src\WileyWidget.Models\Models\AIContextStore.cs","0","0","11"
"src\WileyWidget.Models\Models\AIInsight.cs","0","0","9"
"src\WileyWidget.Models\Models\AlertItem.cs","0","0","41"
"src\WileyWidget.Models\Models\AuditEntry.cs","0","0","9"
"src\WileyWidget.Models\Models\BudgetAccount.cs","0","0","83"
"src\WileyWidget.Models\Models\BudgetChange.cs","0","0","64"
"src\WileyWidget.Models\Models\BudgetDetailItem.cs","0","0","54"
"src\WileyWidget.Models\Models\BudgetForecast.cs","0","0","28"
"src\WileyWidget.Models\Models\BudgetImportOptions.cs","0","0","16"
"src\WileyWidget.Models\Models\BudgetInsight.cs","0","0","46"
"src\WileyWidget.Models\Models\BudgetInteraction.cs","0","0","15"
"src\WileyWidget.Models\Models\BudgetTrendItem.cs","0","0","29"
"src\WileyWidget.Models\Models\Charge.cs","0","0","36"
"src\WileyWidget.Models\Models\ChatMessage.cs","0","0","28"
"src\WileyWidget.Models\Models\EnterpriseSnapshot.cs","0","0","14"
"src\WileyWidget.Models\Models\EnterpriseTypeItem.cs","0","0","36"
"src\WileyWidget.Models\Models\FiscalYearInfo.cs","0","0","17"
"src\WileyWidget.Models\Models\FiscalYearSettings.cs","0","0","43"
"src\WileyWidget.Models\Models\HealthCheckModels.cs","0","0","74"
"src\WileyWidget.Models\Models\Invoice.cs","0","0","12"
"src\WileyWidget.Models\Models\MonthItem.cs","0","0","2"
"src\WileyWidget.Models\Models\NavigationItem.cs","0","0","12"
"src\WileyWidget.Models\Models\OverallBudget.cs","0","0","48"
"src\WileyWidget.Models\Models\PanelItem.cs","0","0","53"
"src\WileyWidget.Models\Models\Payment.cs","0","0","17"
"src\WileyWidget.Models\Models\ReportItem.cs","0","0","33"
"src\WileyWidget.Models\Models\SavedScenarioSnapshot.cs","0","0","10"
"src\WileyWidget.Models\Models\TelemetryLog.cs","0","0","9"
"src\WileyWidget.Models\Models\Transaction.cs","0","0","9"
"src\WileyWidget.Models\Models\UtilityBill.cs","0","0","131"
"src\WileyWidget.Models\Models\UtilityBillItem.cs","0","0","71"
"src\WileyWidget.Models\Models\Widget.cs","0","0","57"
"src\WileyWidget.Models\Models\WorkspaceEnterpriseCatalog.cs","0","0","36"
"src\WileyWidget.Models\MonthlyRevenue.cs","0","0","5"
"src\WileyWidget.Models\ServiceChargeRecommendation.cs","0","0","33"
"src\WileyWidget.Models\TownOfWileyBudget2026.cs","0","0","14"
"src\WileyWidget.Services.Abstractions\IAIService.cs","0","0","1"
"src\WileyWidget.Services.Abstractions\IAnomalyDetectionService.cs","0","0","10"
"src\WileyWidget.Services.Abstractions\IAppEventBus.cs","0","0","23"
"src\WileyWidget.Services.Abstractions\IChatBridgeService.cs","0","0","8"
"src\WileyWidget.Services.Abstractions\IDashboardService.cs","0","0","4"
"src\WileyWidget.Services.Abstractions\IDiValidationService.cs","0","0","25"
"src\WileyWidget.Services.Abstractions\IJARVISPersonalityService.cs","0","0","4"
"src\WileyWidget.Services.Abstractions\ImportResult.cs","0","0","9"
"src\WileyWidget.Services.Abstractions\ISemanticSearchService.cs","0","0","3"
"src\WileyWidget.Services.Abstractions\TokenResult.cs","0","0","9"
"src\WileyWidget.Services.Abstractions\XaiModelDescriptor.cs","0","0","7"
"src\WileyWidget.Services\ActivityFallbackDataService.cs","0","0","183"
"src\WileyWidget.Services\AdaptiveTimeoutService.cs","0","0","63"
"src\WileyWidget.Services\AICacheWarmingService.cs","0","0","172"
"src\WileyWidget.Services\AILoggingService.cs","0","0","242"
"src\WileyWidget.Services\AnalyticsPipeline.cs","0","0","30"
"src\WileyWidget.Services\AnomalyDetectionService.cs","0","0","184"
"src\WileyWidget.Services\ApplicationMetricsService.cs","0","0","65"
"src\WileyWidget.Services\AuditService.cs","0","0","96"
"src\WileyWidget.Services\BudgetImporter.cs","0","0","109"
"src\WileyWidget.Services\CacheServiceCollectionExtensions.cs","0","0","6"
"src\WileyWidget.Services\ChartSeries.cs","0","0","6"
"src\WileyWidget.Services\ChatBridgeService.cs","0","0","48"
"src\WileyWidget.Services\CorrelationIdService.cs","0","0","95"
"src\WileyWidget.Services\CsvExcelImportService.cs","0","0","371"
"src\WileyWidget.Services\DashboardService.cs","0","0","338"
"src\WileyWidget.Services\DataPrefetchService.cs","0","0","15"
