"File","LineRate","LinesCovered","LinesValid"
"src\WileyWidget.Abstractions\IViewRegistrationService.cs","0","0","7"
"src\WileyWidget.Business\Configuration\GrokRecommendationOptions.cs","0","0","1"
"src\WileyWidget.Business\Interfaces\IGrokRecommendationService.cs","0","0","6"
"src\WileyWidget.Business\Models\MonthlyRevenueAggregate.cs","0","0","3"
"src\WileyWidget.Business\Services\AuditService.cs","0","0","6"
"src\WileyWidget.Business\Services\GrokRecommendationService.cs","0","0","154"
"src\WileyWidget.Data\AccountsRepository.cs","0","0","127"
"src\WileyWidget.Data\ActivityLogRepository.cs","0","0","48"
"src\WileyWidget.Data\AppDbContextFactoryAdapter.cs","0","0","7"
"src\WileyWidget.Data\AppDbStartupState.cs","0","0","15"
"src\WileyWidget.Data\AuditRepository.cs","0","0","93"
"src\WileyWidget.Data\BudgetAnalyticsRepository.cs","0","0","388"
"src\WileyWidget.Data\BudgetRepository.cs","0","0","593"
"src\WileyWidget.Data\ConcurrencyConflictException.cs","0","0","14"
"src\WileyWidget.Data\DatabaseSeeder.cs","0","0","8"
"src\WileyWidget.Data\DepartmentRepository.cs","0","0","117"
"src\WileyWidget.Data\DesignTimeDbContextFactory.cs","0","0","9"
"src\WileyWidget.Data\EnterpriseRepository.cs","0","0","249"
"src\WileyWidget.Data\MunicipalAccountRepository.cs","0","0","263"
"src\WileyWidget.Data\RepositoryConcurrencyHelper.cs","0","0","8"
"src\WileyWidget.Data\ScenarioSnapshotRepository.cs","0","0","28"
"src\WileyWidget.Data\VendorRepository.cs","0","0","107"
"src\WileyWidget.Models\Attributes\GridDisplayAttribute.cs","0","0","9"
"src\WileyWidget.Models\Models\ExcelColumnAttribute.cs","0","0","10"
"src\WileyWidget.Models\Models\WorkspaceEnterpriseCatalog.cs","0","0","36"
"src\WileyWidget.Services.Abstractions\IAIService.cs","0","0","1"
"src\WileyWidget.Services.Abstractions\IAnomalyDetectionService.cs","0","0","10"
"src\WileyWidget.Services.Abstractions\IAppEventBus.cs","0","0","23"
"src\WileyWidget.Services.Abstractions\IChatBridgeService.cs","0","0","8"
"src\WileyWidget.Services.Abstractions\IDashboardService.cs","0","0","4"
"src\WileyWidget.Services.Abstractions\IJARVISPersonalityService.cs","0","0","4"
"src\WileyWidget.Services.Abstractions\ISemanticSearchService.cs","0","0","3"
"src\WileyWidget.Services.Abstractions\TokenResult.cs","0","0","9"
"src\WileyWidget.Services.Abstractions\XaiModelDescriptor.cs","0","0","7"
"src\WileyWidget.Services\ActivityFallbackDataService.cs","0","0","183"
"src\WileyWidget.Services\AICacheWarmingService.cs","0","0","172"
"src\WileyWidget.Services\AILoggingService.cs","0","0","242"
"src\WileyWidget.Services\AnalyticsPipeline.cs","0","0","30"
"src\WileyWidget.Services\AnalyticsRepository.cs","0","0","266"
"src\WileyWidget.Services\AnomalyDetectionService.cs","0","0","184"
"src\WileyWidget.Services\ApplicationMetricsService.cs","0","0","65"
"src\WileyWidget.Services\AuditService.cs","0","0","96"
"src\WileyWidget.Services\BudgetImporter.cs","0","0","109"
"src\WileyWidget.Services\CacheServiceCollectionExtensions.cs","0","0","6"
"src\WileyWidget.Services\ChartSeries.cs","0","0","6"
"src\WileyWidget.Services\ChatBridgeService.cs","0","0","48"
"src\WileyWidget.Services\CorrelationIdService.cs","0","0","95"
"src\WileyWidget.Services\DashboardService.cs","0","0","338"
"src\WileyWidget.Services\DataPrefetchService.cs","0","0","15"
"src\WileyWidget.Services\DistributedCacheService.cs","0","0","41"
"src\WileyWidget.Services\EfConversationRepository.cs","0","0","112"
"src\WileyWidget.Services\EncryptedLocalSecretVaultService.cs","0","0","454"
"src\WileyWidget.Services\Excel\ExcelReaderService.cs","0","0","157"
"src\WileyWidget.Services\Export\ExcelExportService.cs","0","0","471"
"src\WileyWidget.Services\FallbackDataService.cs","0","0","119"
"src\WileyWidget.Services\FileSecurityHelper.cs","0","0","20"
"src\WileyWidget.Services\GrokSupercomputer.cs","0","0","487"
"src\WileyWidget.Services\HealthBasedRoutingService.cs","0","0","112"
"src\WileyWidget.Services\HealthCheckService.cs","0","0","82"
"src\WileyWidget.Services\InMemoryCacheService.cs","0","0","49"
"src\WileyWidget.Services\JARVISPersonalityService.cs","0","0","187"
"src\WileyWidget.Services\LocalizationService.cs","0","0","73"
"src\WileyWidget.Services\LocalSecretVaultService.cs","0","0","239"
"src\WileyWidget.Services\NullAIService.cs","0","0","17"
"src\WileyWidget.Services\NullGrokSupercomputer.cs","0","0","20"
"src\WileyWidget.Services\Plugins\AnomalyDetectionPlugin.cs","0","0","22"
"src\WileyWidget.Services\Plugins\Data\DataReportingPlugin.cs","0","0","33"
"src\WileyWidget.Services\Plugins\System\CodebaseInsightPlugin.cs","0","0","43"
"src\WileyWidget.Services\Plugins\System\TimePlugin.cs","0","0","2"
"src\WileyWidget.Services\QuickBooksImportAssistantService.cs","0","0","90"
"src\WileyWidget.Services\SemanticSearchService.cs","0","0","62"
"src\WileyWidget.Services\Services\UserPreferencesService.cs","0","0","79"
"src\WileyWidget.Services\SigNozTelemetryService.cs","0","0","105"
"src\WileyWidget.Services\TelemetryStartupService.cs","0","0","34"
"src\WileyWidget.Services\UserContext.cs","0","0","12"
"src\WileyWidget.Services\WileyWidgetContextService.cs","0","0","129"
"src\WileyWidget.Services\WorkspaceAiKernelProvider.cs","0","0","87"
"src\WileyWidget.Services\WorkspaceSnapshotExportArchiveService.cs","0","0","191"
"src\WileyWidget.Services\XaiModelDiscoveryService.cs","0","0","109"
"src\WileyWidget.Services\XAIService.cs","0","0","494"
"src\WileyWidget.Services\Plugins\Development\CodebaseInsightPlugin.cs","1.96","1","51"
"Contracts\QuickBooksRoutingContracts.cs","7.5","3","40"
"src\WileyWidget.Data\AppDbContextFactory.cs","9.62","5","52"
"src\WileyWidget.Models\Models\FiscalYearInfo.cs","23.53","4","17"
"src\WileyWidget.Services.Abstractions\IDiValidationService.cs","24","6","25"
"src\WileyWidget.Services\QuickBooksRoutingService.cs","29.34","93","317"
"src\WileyWidget.Services\CsvExcelImportService.cs","30.19","112","371"
"src\WileyWidget.Services\Plugins\UserContextPlugin.cs","41.32","50","121"
"src\WileyWidget.Models\Models\FiscalYearSettings.cs","41.86","18","43"
"src\WileyWidget.Models\Models\HealthCheckModels.cs","43.24","32","74"
"src\WileyWidget.Services.Abstractions\AIServiceInterfaces.cs","47.37","18","38"
"src\WileyWidget.Services\DiValidationService.cs","49.64","68","137"
"src\WileyWidget.Models\Models\ChatMessage.cs","50","14","28"
"Contracts\WorkspaceChatContracts.cs","51.22","21","41"
"src\WileyWidget.Models\Models\AI\ComplianceReport.cs","53.06","78","147"
"src\WileyWidget.Services.Abstractions\IAnalyticsService.cs","55.17","32","58"
"src\WileyWidget.Services.Abstractions\ImportResult.cs","55.56","5","9"
"src\WileyWidget.Services\AnalyticsService.cs","56.18","159","283"
"src\WileyWidget.Services\ReportExportService.cs","56.36","257","456"
"src\WileyWidget.Services\SettingsService.cs","57.34","82","143"
"Contracts\QuickBooksImportContracts.cs","58.7","27","46"
"src\WileyWidget.Models\Models\AI\BudgetInsights.cs","60.23","53","88"
"src\WileyWidget.Services\DataAnonymizerService.cs","62.99","97","154"
"src\WileyWidget.Services\HealthChecks\SyncfusionLicenseHealthCheck.cs","63.16","48","76"
"src\WileyWidget.Models\Models\AI\AnalyticsData.cs","63.39","71","112"
"src\WileyWidget.Services.Abstractions\IWorkspaceKnowledgeService.cs","65.45","36","55"
"src\WileyWidget.Models\Models\AI\ReportData.cs","68.75","44","64"
"src\WileyWidget.Services\MemoryCacheService.cs","68.81","75","109"
"src\WileyWidget.Services\Services\FileImportService.cs","70.33","64","91"
"src\WileyWidget.Models\Models\Enterprise.cs","71.05","108","152"
"src\WileyWidget.Services.Abstractions\WorkspaceAiKernelFactory.cs","73.15","79","108"
"src\WileyWidget.Services\ErrorReportingService.cs","74.36","174","234"
"src\WileyWidget.Models\Models\PanelItem.cs","75.47","40","53"
"src\WileyWidget.Services\WorkspaceAiAssistantService.cs","78.13","518","663"
"src\WileyWidget.Models\Models\UtilityBillItem.cs","78.87","56","71"
"src\WileyWidget.Models\Models\BudgetAccount.cs","79.52","66","83"
"src\WileyWidget.Abstractions\IResourceLoader.cs","80.95","17","21"
"src\WileyWidget.Services\WorkspaceKnowledgeService.cs","81.82","198","242"
"src\WileyWidget.Services\TelemetryLogService.cs","85.71","66","77"
"src\WileyWidget.Services\QuickBooksCsvParser.cs","86.92","93","107"
"src\WileyWidget.Services\StartupTimelineService.cs","88.27","331","375"
"src\WileyWidget.Models\Models\Widget.cs","91.23","52","57"
"src\WileyWidget.Models\Models\MunicipalAccount.cs","91.43","96","105"
"src\WileyWidget.Services\QuickBooksExcelParser.cs","91.53","108","118"
"src\WileyWidget.Models\Models\UtilityBill.cs","91.6","120","131"
"src\WileyWidget.Abstractions\Result.cs","91.67","11","12"
"src\WileyWidget.Models\Models\Charge.cs","91.67","33","36"
"src\WileyWidget.Business\Configuration\AccountTypeValidator.cs","93.08","121","130"
"src\WileyWidget.Models\Models\ReportItem.cs","93.94","31","33"
"src\WileyWidget.Models\Models\UtilityCustomer.cs","94.64","212","224"
"src\WileyWidget.Models\Models\BudgetChange.cs","95.31","61","64"
"src\WileyWidget.Models\Models\BudgetDetailItem.cs","96.3","52","54"
"src\WileyWidget.Models\Models\BudgetTrendItem.cs","96.55","28","29"
"src\WileyWidget.Models\Models\EnterpriseTypeItem.cs","97.22","35","36"
"src\WileyWidget.Models\Models\AlertItem.cs","97.56","40","41"
"src\WileyWidget.Models\Models\ActivityItem.cs","97.67","42","43"
"src\WileyWidget.Data\AppDbContext.cs","97.75","825","844"
"src\WileyWidget.Models\Models\BudgetInsight.cs","97.83","45","46"
"src\WileyWidget.Models\Models\BudgetPeriod.cs","97.83","45","46"
"src\WileyWidget.Services\AdaptiveTimeoutService.cs","98.41","62","63"
"src\WileyWidget.Services\QuickBooksImportService.cs","99.01","100","101"
"src\WileyWidget.Abstractions\ICacheService.cs","100","5","5"
"src\WileyWidget.Models\Amplify\AmplifySchemaEntities.cs","100","167","167"
"src\WileyWidget.Models\AppOptions.cs","100","55","55"
"src\WileyWidget.Models\DashboardMetric.cs","100","8","8"
"src\WileyWidget.Models\DepartmentCurrentCharge.cs","100","8","8"
"src\WileyWidget.Models\DepartmentGoal.cs","100","8","8"
"src\WileyWidget.Models\DTOs\DataTransferObjects.cs","100","35","35"
"src\WileyWidget.Models\Models\ActivityLog.cs","100","13","13"
"src\WileyWidget.Models\Models\AIContextStore.cs","100","11","11"
"src\WileyWidget.Models\Models\AIInsight.cs","100","9","9"
"src\WileyWidget.Models\Models\AppSettings.cs","100","59","59"
"src\WileyWidget.Models\Models\AuditEntry.cs","100","9","9"
"src\WileyWidget.Models\Models\BudgetAnalysisModels.cs","100","60","60"
"src\WileyWidget.Models\Models\BudgetData.cs","100","5","5"
"src\WileyWidget.Models\Models\BudgetEntry.cs","100","53","53"
"src\WileyWidget.Models\Models\BudgetForecast.cs","100","28","28"
"src\WileyWidget.Models\Models\BudgetImportOptions.cs","100","16","16"
"src\WileyWidget.Models\Models\BudgetInteraction.cs","100","15","15"
"src\WileyWidget.Models\Models\Department.cs","100","7","7"
"src\WileyWidget.Models\Models\EnterpriseSnapshot.cs","100","14","14"
"src\WileyWidget.Models\Models\Fund.cs","100","5","5"
"src\WileyWidget.Models\Models\Invoice.cs","100","12","12"
"src\WileyWidget.Models\Models\MonthItem.cs","100","2","2"
"src\WileyWidget.Models\Models\NavigationItem.cs","100","12","12"
"src\WileyWidget.Models\Models\OverallBudget.cs","100","48","48"
"src\WileyWidget.Models\Models\Payment.cs","100","17","17"
"src\WileyWidget.Models\Models\SavedScenarioSnapshot.cs","100","10","10"
"src\WileyWidget.Models\Models\TaxRevenueSummary.cs","100","10","10"
"src\WileyWidget.Models\Models\TelemetryLog.cs","100","9","9"
"src\WileyWidget.Models\Models\Transaction.cs","100","9","9"
"src\WileyWidget.Models\Models\Vendor.cs","100","14","14"
"src\WileyWidget.Models\MonthlyRevenue.cs","100","5","5"
"src\WileyWidget.Models\ServiceChargeRecommendation.cs","100","33","33"
"src\WileyWidget.Models\TownOfWileyBudget2026.cs","100","14","14"
"src\WileyWidget.Models\Validators\BudgetDataValidator.cs","100","9","9"
"src\WileyWidget.Models\Validators\EnterpriseValidator.cs","100","6","6"
"src\WileyWidget.Services\DependencyInjection\WileyWidgetServicesExtensions.cs","100","6","6"
"src\WileyWidget.Services\Extensions\CollectionExtensions.cs","100","2","2"
"src\WileyWidget.Services\IQuickBooksFileParser.cs","100","24","24"
"src\WileyWidget.Services\Services\AppEventBus.cs","100","28","28"
